id,text,model,category,prompt_id,audio_done,created_at,tts_speaker,bg_type
91,"Центр, это Станция. Потеря связи. Ориентация стабильна. Система жизнеобеспечения на критическом уровне. Расход кислорода превышает норму. Заря, докладываю последнее местоположение. Конец связи.",gemma4:e4b,lost_cosmonaut,22,0,2026-05-05 17:26:36,,
92,Сектор 7. Тринадцать циклов сбоев в памяти. Потерян протокол быта. Стандартная пачка сигарет. Дефицит ресурса. Полезность нулевая. Архивные данные о докатастрофическом цикле не подтверждаются. Процесс верификации отложен. Сбор образцов ржавого металла.,gemma4:e4b,postapoc_philosophy,14,0,2026-05-05 17:26:37,,
93,"Прогноз погоды на сектор Дельта. Температура плюс двадцать. Ожидается кратковременное снижение уровня радиационного фона до критической отметки. Сохранять бдительность. Повторяю, бдительность. Сектор Дельта, период нестабильности. Приёмник, проверьте частоту. Вы слышите этот шум.",gemma4:e4b,ussr_anomalous_broadcast,9,0,2026-05-05 17:26:38,,
94,Код Альфа-Гамма. 77 14 03 99 21 55. Эвакуация завершена. Сектор Б. 41 00 88 32 19 66. Передать информацию. Объект К-9. 05 22 11 70 44 99. Приём подтверждён.,gemma4:e4b,uvb76,1,0,2026-05-05 17:26:40,,
95,"Вещание прекращается. Гимн Советского Союза. Принять к сведению. Исполнение приказа: отключить приемник. Вилка из розетки. Обратите внимание. Данный канал возобновит передачу 17.03.2147. Тестовый сигнал содержит частоту 4.18 ГГц. Вы, последний зритель, сохраните связь. Завтра вещание начнётся ровно в 22:00.",gemma4:e4b,tv_signoff,29,0,2026-05-05 17:26:41,,
96,"Координаты 50°12'N, 37°45'E. Сектор Альфа. Показания тепла: 293 К. Электромагнитный фон: повышенный фон. Давление в Дельта-3: 1012 мбар. Плотность аномального излучения: 45 мкЗв/ч. Сектор Браво. Координаты 50°15'N, 37°46'E. Показания излучения: 980 ед. Хармса. Статус: критический. Следующий замер через 0300 часов.",gemma4:e4b,anomaly,5,0,2026-05-05 17:26:43,,
97,"Сводка. Сельское хозяйство. Урожайность в аграрных поясах достигла рекордных показателей. Подтвержден сбор в Лунной зоне. Вручение знамения проходило в поселке Красный Залив. Международный фронт: подписан пакт с государственным образованием ""Эридус"". Следующий блок: прогноз атмосферных явлений.",gemma4:e4b,radio_mayak,33,0,2026-05-05 17:26:44,,
98,"Центральный пост, подтверждаю. Пеленг с отклонением. Сектор три, зафиксирован шум. Анализ не дал совпадений. Боевая тревога отменена. Глубина семьдесят два метра, курс триста семьдесят градусов.",gemma4:e4b,submarine,20,0,2026-05-05 17:26:45,,
99,Внимание. Обратите внимание на схему падежа. Именительный падеж обозначает подлежащее. Винительный падеж отвечает на вопрос «кого? что?». Предложный падеж требует указания места. Запомните последовательность. Выполните упражнение двадцать три. Завтра повторим глагольные формы прошедшего времени.,gemma4:e4b,school_lesson,34,0,2026-05-05 17:26:46,,
100,Измерение флуктуаций в секторе Гамма-9 выявило расхождение в показателях коэффициента пространственной деградации. Индекс Хармса-Вернова превысил критический предел 3.8 единиц в узловой точке. Фиксируется локальное проявление поля нулевой памяти. Требуется калибровка поглотителей вакуумного распада. Процедура обратной термодинамической инверсии проведена три цикла. 14.03.87. Секторный руководитель К.В.,gemma4:e4b,science_report,10,0,2026-05-05 17:26:48,,
